PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
71285-7019,HUMAN COMPOUNDED DRUG,Epinephrine 8mg added to D5W,Epinephrine 8mg added to D5W,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",EPINEPHRINE,8 mg/250 mL,,71285-7019-1,250 mL in 1 BAG (71285-7019-1) ,2023-1
68985-049,HUMAN COMPOUNDED DRUG,Phenylephrine 1MG,Phenylephrine 1MG,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),LEESAR INC,PHENYLEPHRINE HYDROCHLORIDE,.1 mg/1 mL,,68985-049-91,10 mL in 1 SYRINGE (68985-049-91) ,2022-2
71449-126,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",SUCCINYLCHOLINE CHLORIDE,20 mg/1 mL,,71449-126-15,"5 SYRINGE, PLASTIC in 1 CONTAINER (71449-126-15)  > 10 mL in 1 SYRINGE, PLASTIC",2023-1
83826-9059,HUMAN COMPOUNDED DRUG,"Brimonidine Tartrate, Dorzolamide","Brimonidine Tartrate 0.1%, Dorzolamide 2%",SOLUTION,OPHTHALMIC; TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"OSRX, Inc.",DORZOLAMIDE HYDROCHLORIDE; BRIMONIDINE TARTRATE,20 mg/1 mL; 1 mg/1 mL,,83826-9059-2,"2 mL in 1 BOTTLE, DROPPER (83826-9059-2) ",2023-2
70092-086,HUMAN COMPOUNDED DRUG,Succinylcholine 20 mg/ml 5 ml syr,Succinylcholine 20 mg/ml 5 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",SUCCINYLCHOLINE CHLORIDE,100 mg/5 mL,,70092-086-44,5 mL in 1 SYRINGE (70092-086-44) ,2023-1
72196-6039,HUMAN COMPOUNDED DRUG,Oxytocin 30units added to LR,Oxytocin 30units added to LR,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,30 [USP'U]/500 mL,,72196-6039-1,500 mL in 1 BAG (72196-6039-1) ,2023-1
70092-174,HUMAN COMPOUNDED DRUG,Vancomycin PF 1.75 g add to 250ml NS bag,Vancomycin PF 1.75 g add to 250ml NS bag,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",VANCOMYCIN HYDROCHLORIDE,437.5 g/250 mL,,70092-174-05,250 mL in 1 BAG (70092-174-05) ,2023-2
70092-293,HUMAN COMPOUNDED DRUG,Hydromorph PF1 mg/ml 30ml NS-35 ml MB SS,Hydromorph PF1 mg/ml 30ml NS-35 ml MB SS,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",HYDROMORPHONE HYDROCHLORIDE,30 mg/30 mL,CII,70092-293-49,30 mL in 1 SYRINGE (70092-293-49) ,2023-2
26436-5000,HUMAN COMPOUNDED DRUG,Myers Cocktail,Vitamin B1/B2/B3/B5/B6/B12/Vitamin C/Mg/Ca,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,PYRIDOXINE HYDROCHLORIDE,10 mg/1 mL,,26436-5000-1,"10 mL in 1 VIAL, GLASS (26436-5000-1) ",2023-2
79559-1200,HUMAN COMPOUNDED DRUG,S-T200,S-T200,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),F. H. Investments. Inc. DBA Asteria Health,TESTOSTERONE,200 mg/200 mg,CIII,79559-1200-1,"200 mg in 1 VIAL, PLASTIC (79559-1200-1) ",2024-1
73702-109,HUMAN COMPOUNDED DRUG,Glycopyrrolate,Glycopyrrolate,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,GLYCOPYRROLATE,.2 mg/1 mL,,73702-109-32,2 mL in 1 SYRINGE (73702-109-32) ,2023-2
70004-200,HUMAN COMPOUNDED DRUG,Fentanyl 50mcg/mL,Fentanyl 50mcg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",FENTANYL CITRATE,.05 mg/1 mL,CII,70004-200-17,25 mL in 1 SYRINGE (70004-200-17) ,2022-2
72682-8721,HUMAN COMPOUNDED DRUG,Thiamine HCL 20mg/Pyridoxine HCL 100mg/ml 30mL,Thiamine HCL 20mg/Pyridoxine HCL 100mg/ml 30mL,INJECTION,INTRAMUSCULAR; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,PYRIDOXINE HYDROCHLORIDE; THIAMINE HYDROCHLORIDE,100 mg/1 mL; 20 mg/1 mL,,72682-8721-3,30 mL in 1 VIAL (72682-8721-3) ,2023-1
73198-012,HUMAN COMPOUNDED DRUG,Trimix Formula ST2,Papaverine-30mg/Phentolamine 3mg/Alprostadil 100mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; .1 mg/1 mL; 30 mg/1 mL,,73198-012-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-012-03) ",2023-1
71286-2040,HUMAN COMPOUNDED DRUG,Morphine Sulfate 1mg/ml in NS,Morphine Sulfate 1mg/ml in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",MORPHINE SULFATE,1 mg/1 mL,CII,71286-2040-3,30 mL in 1 SYRINGE (71286-2040-3) ,2022-2
71286-2013,HUMAN COMPOUNDED DRUG,Hydromorphone HCL 0.1mg/ml in D5W,Hydromorphone HCL 0.1mg/ml in D5W,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HYDROMORPHONE HYDROCHLORIDE,.1 mg/1 mL,CII,71286-2013-2,30 mL in 1 SYRINGE (71286-2013-2) ,2023-2
71285-8086,HUMAN COMPOUNDED DRUG,Tromethamine 0.3M,Tromethamine 0.3M,SOLUTION,EXTRACORPOREAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",TROMETHAMINE,.036 g/1 mL,,71285-8086-2,50 mL in 1 SYRINGE (71285-8086-2) ,2023-1
71285-6073,HUMAN COMPOUNDED DRUG,Vancomycin 1.25gm added to D5W,Vancomycin 1.25gm added to D5W,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",VANCOMYCIN HYDROCHLORIDE,1.25 g/250 mL,,71285-6073-1,250 mL in 1 BAG (71285-6073-1) ,2022-2
71285-6075,HUMAN COMPOUNDED DRUG,Vancomycin 1.5gm added to D5W,Vancomycin 1.5gm added to D5W,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",VANCOMYCIN HYDROCHLORIDE,1.5 g/250 mL,,71285-6075-1,250 mL in 1 BAG (71285-6075-1) ,2022-2
73693-384,HUMAN COMPOUNDED DRUG,TESTOSTERONE 100 MG,TESTOSTERONE 100 MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE,100 mg,CIII,73693-384-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-384-01) ",2022-2
70713-056,HUMAN COMPOUNDED DRUG,ESTRADIOL 10MG,ESTRADIOL 10MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",ESTRADIOL,10 mg,,70713-056-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-056-01) ",2023-1
71170-500,HUMAN COMPOUNDED DRUG,Norepinephrine Bitartrate 4mg added to 250mL of 5% Dextrose,Norepinephrine Bitartrate 4mg added to 250mL of 5% Dextrose,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",NOREPINEPHRINE,.016 mg/1 mL,,71170-500-25,250 mL in 1 BAG (71170-500-25) ,2022-2
71506-014,HUMAN COMPOUNDED DRUG,Vancomycin Hydrochloride,Vancomycin Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,VANCOMYCIN HYDROCHLORIDE,750 mg/250 mL,,71506-014-58,250 mL in 1 BAG (71506-014-58) ,2022-2
70004-926,HUMAN COMPOUNDED DRUG,Vancomcyin 1.75 g added to 0.9% Sodium Chloride,Vancomcyin 1.75 g added to 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",VANCOMYCIN HYDROCHLORIDE,1.75 g,,70004-926-44,"1 INJECTION, SOLUTION in 1 BAG (70004-926-44) ",2022-2
65302-501,HUMAN COMPOUNDED DRUG,Neostigmine Methylsulfate,Neostigmine Methylsulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),The Ritedose Corporation,NEOSTIGMINE METHYLSULFATE,1 mg/1 mL,,65302-501-05,5 mL in 1 SYRINGE (65302-501-05) ,2023-1
71285-0405,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,Trophamine 3% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; CALCIUM GLUCONATE MONOHYDRATE,.375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 25 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .24 g/250 mL; .615 g/250 mL; .405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL; .585 g/250 mL; 3.75 meq/250 mL,,71285-0405-1,250 mL in 1 BAG (71285-0405-1) ,2024-1
70214-2012,HUMAN COMPOUNDED DRUG,ceFAZolin 2g per 20mL,Cefazolin,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PROVIDENCE INFUSION HOSPITAL SERVICES,CEFAZOLIN,2 g/20 mL,,70214-2012-1,"20 mL in 1 SYRINGE, PLASTIC (70214-2012-1) ",2022-2
73177-105,HUMAN COMPOUNDED DRUG,Morphine Sulfate,Morphine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,MORPHINE SULFATE,1 mg/1 mL,CII,73177-105-01,"2 mL in 1 SYRINGE, PLASTIC (73177-105-01) ",2023-1
73177-105,HUMAN COMPOUNDED DRUG,Morphine Sulfate,Morphine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,MORPHINE SULFATE,1 mg/1 mL,CII,73177-105-30,"30 mL in 1 SYRINGE, PLASTIC (73177-105-30) ",2023-1
72627-2432,HUMAN COMPOUNDED DRUG,Zinc Sulfate,Zinc Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Empower Pharmacy,ZINC SULFATE,10 mg/1 mL,,72627-2432-1,"30 mL in 1 VIAL, MULTI-DOSE (72627-2432-1) ",2023-1
71139-7084,HUMAN COMPOUNDED DRUG,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC",PHENYLEPHRINE HYDROCHLORIDE,1 mg/10 mL,,71139-7084-1,"10 mL in 1 SYRINGE, PLASTIC (71139-7084-1) ",2023-1
71506-041,HUMAN COMPOUNDED DRUG,Lidocaine Hydrochloride,Lidocaine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,LIDOCAINE HYDROCHLORIDE,100 mg/5 mL,,71506-041-05,5 mL in 1 SYRINGE (71506-041-05) ,2023-1
73702-128,HUMAN COMPOUNDED DRUG,Ropivacaine HCl,Ropivacaine HCl,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73702-128-65,50 mL in 1 SYRINGE (73702-128-65) ,2024-1
73198-015,HUMAN COMPOUNDED DRUG,Trimix Formula RE1,Papaverine-30mg/Phentolamine-3mg/Alprostadil 200mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PAPAVERINE HYDROCHLORIDE; PHENTOLAMINE MESYLATE; ALPROSTADIL,30 mg/1 mL; 3 mg/1 mL; .2 mg/1 mL,,73198-015-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-015-03) ",2022-2
73198-010,HUMAN COMPOUNDED DRUG,Trimix Formula NB343,Papaverine-30mg/Phentolamine-3mg/Alprostadil 30mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; .03 mg/1 mL; 30 mg/1 mL,,73198-010-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-010-10) ",2023-1
71266-8241,HUMAN COMPOUNDED DRUG,"Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 10%, Ketorolac 0.5%","Tropicamide 1%, Cyclopentolate 1%, Phenylephrine 10%, Ketorolac 0.5%",SOLUTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE; KETOROLAC TROMETHAMINE; TROPICAMIDE; CYCLOPENTOLATE HYDROCHLORIDE,100 mg/1 mL; 5 mg/1 mL; 10 mg/1 mL; 10 mg/1 mL,,71266-8241-5,"5 mL in 1 BOTTLE, DROPPER (71266-8241-5) ",2024-1
70713-101,HUMAN COMPOUNDED DRUG,BENZOCAINE LIDOCAINE TETRACAINE 20 6 4,BENZOCAINE LIDOCAINE TETRACAINE 20 6 4,CREAM,TRANSDERMAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TETRACAINE; BENZOCAINE; LIDOCAINE,40 mg/1 mL; 200 mg/1 mL; 60 g/1 mL,,70713-101-01,"120 mL in 1 BOTTLE, PUMP (70713-101-01) ",2022-2
72196-0428,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 10% With Calcium Gluconate 2.33mEq and Heparin 125 units 250ml in 250ml bag,Trophamine 3% / Dextrose 10% With Calcium Gluconate 2.33mEq and Heparin 125 units 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; CALCIUM GLUCONATE MONOHYDRATE; HEPARIN SODIUM,.375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 25 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .24 g/250 mL; .615 g/250 mL; .405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL; .585 g/250 mL; 2.33 meq/250 mL; 125 U/250 mL,,72196-0428-1,250 mL in 1 BAG (72196-0428-1) ,2022-2
73177-102,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,10 ug/1 mL,CII,73177-102-01,"2 mL in 1 SYRINGE, PLASTIC (73177-102-01) ",2023-1
71266-9190,HUMAN COMPOUNDED DRUG,Midazolam,Midazolam,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,MIDAZOLAM,1 mg/1 mL,CIV,71266-9190-2,"2 mL in 1 SYRINGE, PLASTIC (71266-9190-2) ",2023-1
70324-326,HUMAN COMPOUNDED DRUG,Sodium Bicarbonate in Dextrose,Sodium Bicarbonate in Dextorse,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SterRx LLC,SODIUM BICARBONATE,12.6 g/1000 mL,,70324-326-01,1000 mL in 1 BAG (70324-326-01) ,2023-1
71506-040,HUMAN COMPOUNDED DRUG,Phenylephrine Hydrochloride,Phenylephrine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,PHENYLEPHRINE HYDROCHLORIDE,400 ug/10 mL,,71506-040-10,10 mL in 1 SYRINGE (71506-040-10) ,2023-1
69374-538,HUMAN COMPOUNDED DRUG,Methacholine Chloride 0.25mg/mL,Methacholine Chloride 0.25mg/mL,SOLUTION,RESPIRATORY (INHALATION),OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nephron Sterile Compounding Center, LLC",METHACHOLINE CHLORIDE,.25 mg/1 mL,,69374-538-03,"6 CARTON in 1 CASE (69374-538-03)  > 1 VIAL, PLASTIC in 1 CARTON > 3 mL in 1 VIAL, PLASTIC",2022-2
69194-687,HUMAN COMPOUNDED DRUG,687 POVIDONE-IODINE 5% BOTTLE,povidone-iodine,SOLUTION,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Pine Pharmaceuticals LLC,POVIDONE-IODINE,5 mg/1 mL,,69194-687-01,1 mL in 1 BOTTLE (69194-687-01) ,2024-1
73271-1216,HUMAN COMPOUNDED DRUG,METHIONINE/INOSITOL/CHOLINE/VITAMIN B12,METHIONINE/INOSITOL/CHOLINE/VITAMIN B12,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Right Value Drug Stores llc dba Carie Boyd's Prescription Shop,METHIONINE; CHOLINE CHLORIDE; CYANOCOBALAMIN; INOSITOL,2.5 mg/1 mL; 5 mg/1 mL; .1 mg/1 mL; 5 mg/1 mL,,73271-1216-1,30 mL in 1 VIAL (73271-1216-1) ,2023-1
70092-068,HUMAN COMPOUNDED DRUG,Oxytocin 30 U add to 500ml NS  bag,Oxytocin 30 U add to 500ml NS  bag,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",OXYTOCIN,30 U/500 mL,,70092-068-07,500 mL in 1 BAG (70092-068-07) ,2023-1
63037-101,HUMAN COMPOUNDED DRUG,Fentanyl Citrate in 0.9% Sodium Chloride,Fentanyl Citrate in 0.9% Sodium Chloride Injection,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hikma Injectables USA Inc.,FENTANYL CITRATE,2500 ug/250 mL,CII,63037-101-05,250 mL in 1 BAG (63037-101-05) ,2023-2
72196-6060,HUMAN COMPOUNDED DRUG,Potassium Phosphate 15mmol added to NS,Potassium Phosphate 15mmol added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","POTASSIUM PHOSPHATE, DIBASIC",15 mmol/250 mL,,72196-6060-1,250 mL in 1 BAG (72196-6060-1) ,2023-2
71266-9027,HUMAN COMPOUNDED DRUG,Ephedrine,Ephedrine,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,EPHEDRINE SULFATE,5 mg/1 mL,,71266-9027-1,"5 mL in 1 SYRINGE, PLASTIC (71266-9027-1) ",2023-2
26436-5005,HUMAN COMPOUNDED DRUG,Calcium Gluconate,Calcium Gluconate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,CALCIUM GLUCONATE MONOHYDRATE,100 mg/1 mL,,26436-5005-2,"20 mL in 1 VIAL, GLASS (26436-5005-2) ",2024-1
71285-0011,HUMAN COMPOUNDED DRUG,Warm Induction 4 to 1 High K (40 mEq) Low Tromethamine 500ml Bag,Warm Induction 4 to 1 High K (40 mEq) Low Tromethamine 500ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","POTASSIUM CHLORIDE; ASPARTIC ACID; TROMETHAMINE; GLUTAMIC ACID; DEXTROSE MONOHYDRATE; CITRIC ACID MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE",40 meq/500 mL; 4.9 g/500 mL; 2.0268 g/500 mL; 5.35 g/500 mL; 12.6 g/500 mL; 3.67875 g/500 mL; 29.5875 g/500 mL; 2.4975 g/500 mL; 52.2 g/500 mL,,71285-0011-1,500 mL in 1 BAG (71285-0011-1) ,2022-2
72682-6422,HUMAN COMPOUNDED DRUG,MIC with Cyanocobalamin 25/50/50/1mg per ml 30mL,Methionine 25 mg/mL / Inositol 50 mg/mL / Choline 50mg/mL / Cyanocobalamin 1mg/ml 30mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),AnazaoHealth Corporation,CHOLINE CHLORIDE; METHIONINE; INOSITOL; CYANOCOBALAMIN,50 mg/1 mL; 25 mg/1 mL; 50 mg/1 mL; 1 mg/1 mL,,72682-6422-1,30 mL in 1 VIAL (72682-6422-1) ,2024-1
